# ============================================
# MODBUS RTU SPECIFICATION - Kaisai/Phinx Heat Pumps
# ============================================
#
# 1. TRANSMISSION FORMAT
# ----------------------
# Baud Rate:     9600 bps
# Start bit:     1
# Byte width:    8
# Parity:        None (N)
# Stop bits:     1
# Slave address: 0x10 (16 decimal)
#
# 2. PACKET FORMAT
# ----------------
# | Address (16bit) | Function (16bit) | Data (N*16bit) | CRC Checksum (16bit) |
#
# Function codes:
#   03 - Read multiple registers
#   16 - Write (preset) multiple registers
#
# 3. DATA TYPES
# -------------
# TEMP  - Signed, 0.1°C resolution. Formula: T*10. Range: -30~97°C
#         Example: 25°C = 250, -25°C = -250 (bit15=1 for negative)
#         Value 32767 indicates sensor fault
# DIGI1 - Unsigned, unit 1. Display 123 = data 123
# DIGI2 - Unsigned, unit 10. Display 1230 = data 123
# DIGI3 - Unsigned, unit 100. Display 12300 = data 123
# DIGI4 - Unsigned, unit 100. Display 12300 = data 123
# DIGI5 - Unsigned, unit 0.1. Display 12.3 = data 123
# DIGI6 - Unsigned, unit 0.001. Display 0.123 = data 123
# DIGI9 - Unsigned, unit 0.01. Display 0.12 = data 12
# ENUM  - Enumeration, discrete values
# BINARY- Bitfield, each bit has meaning
#
# ============================================
Parameter address,Parameter name,Parameter code,Standard num,Mode,Description,Data type,Setting range
1044,Excess Temp. Diff. Between Inlet and Outlet Temp.,A24,--,Read-write,0~30℃,TEMP,0~30
1045,Force Switch Mode Time,H32,--,Read-write,1~300min,DIGI1,1~300
1046,DHW Temp. Sourcing,H99,--,Read-only,--,DIGI1,0~1
1047,Enable Defrosting Communication in Cascade,D26,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1048,DHW Temp. Sourcing,H37,--,Read-write,0-【DHW Tank Sensor】 1-【External from Modbus 】,ENUM,0~1
1049,Electric Heater On AT,A31,--,Read-write,-30~60℃,TEMP,-30~60
1050,Electric Heater Delays Comp. On Time,A32,--,Read-write,10~999min,DIGI1,10~999
1051,Min. AT for Cooling,A30,--,Read-write,-30~60℃,TEMP,-30~60
1052,Ambient/Suction/Coil Sensor Type,A21,--,Read-write,0-5K/1-2K,ENUM,0~1
1053,Min. Antifreeze Temp.,A22,--,Read-write,-20.0~10.0℃,TEMP,-20~10
1054,Refrigerant Type,A26,--,Read-write,0-R32/1-R290/2-R32-1/3-R290-1/4-R32-2/5-R290-2/6-R32-3/7-R290-3 / 0-99,DIGI1,0~99
1055,Minimum Evaporation Temp. of Cooling,A25,--,Read-write,-50℃~30℃,TEMP,-50~30
1056,Temp. Diff. of Limiting Frequency,A27,--,Read-write,-20℃~95℃,TEMP,-20~95
1057,Temp. Diff. Between Outlet and DHW Temp.,A28,--,Read-write,-20℃~95℃,TEMP,-20~95
1058,Enable High Pressure Sensor,A29,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1059,Fan Motor Type,F01,--,Read-write,1-【Double】/3-【DC】/4-【DC_ExternalDrive】,ENUM,1~4
1060,Coil Temp.. for Max. Fan Speed in Cooling,F02,--,Read-write,-15.0~60.0℃,TEMP,-15~60
1062,Coil Temp.. for Min. Fan Speed in Cooling,F03,--,Read-write,-15.0~60.0℃,TEMP,-15~60
1063,Electric Heater Opening Temp. Diff,A33,--,Read-write,0~20℃,TEMP,0~20
1064,Crank preheating time,A34,--,Read-write,0~360min,DIGI1,0~360
1066,Coil Temp.. for Max. Fan Speed in Heating,F05,--,Read-write,-15.0~60.0℃,TEMP,-15~60
1068,Coil Temp.. for Min. Fan Speed in Heating,F06,--,Read-write,-15.0~60.0℃,TEMP,-15~60
1069,Enable Multi-Zone Control,Z01,--,Read-write,0-None/1-Zone 1-S/2-Zone 2-S/3-Zone 1&2-S /4-Zone 1-T/5-Zone 2-T/6-Zone 1&2-T /7-Zone 1-P/8-Zone 2-P/9-Zone 1&2-P,ENUM,0~9
1070,Zone 1 Target RT,Z02,--,Read-write,10℃~35℃,TEMP,10~35
1071,Zone 1 RT Diff. to Start,Z03,--,Read-write,0℃~10℃,TEMP,0~10
1072,Zone 2 Target RT,Z04,--,Read-write,10℃~35℃,TEMP,10~35
1073,Zone 2 RT Diff. to Start,Z05,--,Read-write,0℃~10℃,TEMP,0~10
1074,Fan Quantity,F10,--,Read-write,0-【One fan】/1-【Two fans】,ENUM,0~1
1075,Zone 1 Heating Target Outlet WT,Z06,--,Read-write,R10-R11,TEMP,$1164$~$1165$
1076,Zone 2 Mixing Target Outlet WT,Z07,--,Read-write,R10-Z15,TEMP,$1164$~$1135$
1077,Enable AT Compensation Curve Zone 2,Z17,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1078,Zone 2 Cure Slope,Zone 2 Cure Slope,--,Read-write,--,DIGI5,0~4
1079,Zone 2 Curve Offset,Zone 2 Curve Offset,--,Read-write,--,DIGI5,0~60
1080,Mixing Valve Manual Adjustment Ratio (0% for Auto,Z08,--,Read-write,0-100%,DIGI1,0~100
1081,Min. Fan Speed in Cooling,F18,--,Read-write,10~1300r,DIGI1,10~1300
1082,Mixing Valve Opening Time,Z09,--,Read-write,0~2000s,DIGI1,0~2000
1083,Min. Fan Speed in Heating,F19,--,Read-write,10~1300r,DIGI1,10~1300
1084,Mixing Valve Closing Time,Z10,--,Read-write,0-2000s,DIGI1,0~2000
1085,Mixing Valve Adjustment P(PID),Z11,--,Read-write,0-10.0,DIGI5,0~10
1087,Enable Manual-control Fan Speed,F22,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1088,Mixing Valve Adjustment I(PID),Z12,--,Read-write,0-10.0,DIGI5,0~10
1089,Rated DC Fan Motor Speed,F23,--,Read-write,10~1300r,DIGI1,10~1300
1090,Mixing Valve PID Period,Z13,--,Read-write,1-20 min,DIGI1,1~20
1101,CT to Reduce Two Fans to One in Cooling,F28,--,Read-write,-30~60℃,TEMP,-30~60
1102,CT to Stop Single Fan in Cooling,F29,--,Read-write,-30~60℃,TEMP,-30~60
1103,Max. Fan Speed in Cooling,F25,--,Read-write,10~1300r,DIGI1,10~1300
1104,Max. Fan Speed in Heating,F26,--,Read-write,10~1300r,DIGI1,10~1300
1105,Ambient Temp. of Starting Defrosting,D01,--,Read-write,-37~45℃,TEMP,-37~45
1106,Heating Operation Time Before Defrosting,D02,--,Read-write,0~120min,DIGI1,0~120
1107,Interval Time Between Defrosting Cycles,D03,--,Read-write,10~90min,DIGI1,10~90
1108,Exhaust Temp. Correction for Defrosting Cycle,D04,--,Read-write,0~150℃,TEMP,0~150
1109,Defrosting Suction Pressure 1,D05-1,--,Read-write,0~45bar,DIGI5,0~45
1110,Defrosting Suction Pressure 2,D05-2,--,Read-write,0~45bar,DIGI5,0~45
1111,Defrosting Cycle Time Correction,D06,--,Read-write,0~120min,DIGI1,0~120
1112,Ambient Temp. of Start Sliding Defrosting,D07,--,Read-write,-37~45℃,TEMP,-37~45
1113,Suction Temp. of Start Sliding Defrosting,D08,--,Read-write,-37~45℃,TEMP,-37~45
1114,Ambient Temp. of Stop Sliding Defrosting,D09,--,Read-write,-37~45℃,TEMP,-37~45
1115,Suction Temp. of Stop Sliding Defrosting,D10,--,Read-write,-37~45℃,TEMP,-37~45
1116,Min. Inlet Water Temp. of Defrosting,D11,--,Read-write,4~65℃,TEMP,4~65
1117,Suction Pressure of Forced Defrosting,D12,--,Read-write,0~45bar,DIGI5,0~45
1118,Heating Operation Time Before Forced Defrosting,D13,--,Read-write,0~360min,DIGI1,0~360
1119,Fan Motor Power Ratio to Extend Defrosting Cycle,D14,--,Read-write,0-5.00,DIGI9,0~5
1120,Fan Motor Power Ratio to Enter Forced Defrosting,D15,--,Read-write,0-5.00,DIGI9,0~5
1121,Max. Fan Motor Power to Enter Forced Defrosting,D16,--,Read-write,50-1000W,DIGI1,50~1000
1122,Coil Temp. of Exit Defrosting,D17,--,Read-write,-37~45℃,TEMP,-37~45
1123,Distributor Tube Temp. of Exit Defrosting,D18,--,Read-write,-37~80℃,TEMP,-37~80
1124,Max. Defrosting Time,D19,--,Read-write,0~20min,DIGI1,0~20
1125,Defrosting Frequency,D20,--,Read-write,30-90Hz,DIGI1,30~90
1126,Enable Electric Heater During Defrosting,D21,--,Read-write,0-NO/1-YES,ENUM,0~1
1127,Water Flow of Defrosting,D22,--,Read-write,0-50,DIGI9,0~50
1128,Max. Defrosting Cycle by Fan Motor Power,D23,--,Read-write,0~240min,DIGI1,0~240
1129,Defrosting Heating Source in Heating / DHW Mode,D24,--,Read-write,0-【Stay Current Circuit】 1-【DHW Circuit】 2-【Heating Circuit】,ENUM,0~2
1130,Max. Water Temp. Decrease during Defrosting,D25,--,Read-write,2~65℃,TEMP,2~65
1131,EEV Adjust Mode,E01,--,Read-write,0-【Manual】/1-【Auto】/2-【Smart】,ENUM,0~2
1132,Target Superheat for Heating,E02,--,Read-write,-20.0~20.0℃,TEMP,-20~20
1133,EEV Initial Steps for Heating,E03,--,Read-write,0~500N,DIGI1,0~500
1134,Steps of Mixing Valve in Cooling,Z14,--,Read-write,0-100%,DIGI1,0~100
1135,Zone 2 Max. Water Target Temp.,Z15,--,Read-write,R10-99℃,TEMP,$1164~99
1137,EEV Min. Steps,E07,--,Read-write,0~500N,DIGI1,0~500
1138,EEV Initial Steps for Cooling,E08,--,Read-write,0~500N,DIGI1,0~500
1139,EVI EEV: Adjustment Mode,E09,--,Read-write,0-【Manual】/1-【Auto】,ENUM,0~1
1140,EVI EEV: Initial Steps,E10,--,Read-write,0~500N,DIGI1,0~500
1141,DefrstForceAmbient,DefrstForceAmbient,--,Read-write,-30℃~30℃,TEMP,-30~30
1142,EEV Initial Steps for Heating2,E03-2,--,Read-write,0~500N,DIGI1,0~500
1143,EVI EEV Target Superheat Degree,E13,--,Read-write,-20.0~20.0℃,TEMP,-20~20
1144,EVI EEV Min. Steps,E14,--,Read-write,0~500N,DIGI1,0~500
1145,IntervalSecondsReport,IntevalSeconds,--,Read-write,30~300s(Only available within 3 hours),DIGI1,30~300
1147,Defrosting EEV Steps,E17,--,Read-write,10~500N,DIGI1,10~500
1148,Target Superheat for Cooling,E18,--,Read-write,-10~10℃,TEMP,-10~10
1149,EEV Adjustment Range In Smart Mode,E19,--,Read-write,0%--300%,DIGI1,0~300
1152,Disinfection Water Temp.,G01,--,Read-write,60~70℃,TEMP,60~70
1153,Time Duration of Disinfection,G02,--,Read-write,0~60min,DIGI1,0~60
1154,Disinfection Starting Time,G03,--,Read-write,0~23h,DIGI1,0~23
1155,Interval Period of Disinfection,G04,--,Read-write,1~30days,DIGI1,1~30
1156,Enable Disinfection,G05,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1157,Domestic Hot Water / DHW Target Temp.,R01,--,Read-write,R36~R37℃,TEMP,$1176$~$1177$
1158,Heating Target Temp.,R02,--,Read-write,R10~R11℃,TEMP,$1164$~$1165$
1159,Cooling Target Temp.,R03,--,Read-write,R08~R09℃,TEMP,$1162$~$1163$
1160,Temp. Diff. for Power-on in Heating,R04,--,Read-write,0~10℃,TEMP,0~10
1161,Temp. Diff. for Standby in Heating,R05,--,Read-write,0~10℃,TEMP,0~10
1162,Min. Cooling Target Temp.,R08,--,Read-write,-30.0~R09℃,TEMP,-30~$1163$
1163,Max. Cooling Target Temp.,R09,--,Read-write,R08~80.0℃,TEMP,$1162$~80
1164,Min. Heating Target Temp.,R10,--,Read-write,-30.0~R11℃,TEMP,-30~$1165$
1165,Max. Heating Target Temp.,R11,--,Read-write,R10~99℃,TEMP,$1164$~99
1166,Temp. Diff. of Exiting Overhigh Outlet Temp.,R15,--,Read-write,0~15℃,TEMP,0~15
1167,Low AT for Water Temp. Limit On,R29,--,Read-write,R30~4℃,TEMP,$1168$~4
1168,Low AT for Water Temp. Limit Off,R30,--,Read-write,-35~R29℃,TEMP,-35~$1167$
1169,Max. Limit Outlet Water Temp. at Low AT,R31,--,Read-write,20~85℃,TEMP,20~85
1170,High AT for Water Temp. Limit On,R32,--,Read-write,0.1~R33℃,TEMP,0.1~$1171$
1171,High AT for Water Temp. Limit Off,R33,--,Read-write,R32~60℃,TEMP,$1170$~60
1172,Max. Limit Outlet Water Temp. at High AT,R34,--,Read-write,20~85℃,TEMP,20~85
1173,Location of Electric Heater,R35,--,Read-write,0-【Not Available】/1-【Main Water Circuit】/2-【DHW Tank】/3-【Buffer Tank】,ENUM,0~3
1174,Temp. Diff. for Power-on in Cooling,R06,--,Read-write,0~10℃,TEMP,0~10
1175,Temp. Diff. for Standby in Cooling,R07,--,Read-write,0~10℃,TEMP,0~10
1176,Min. DHW Target Temp.,R36,--,Read-write,0~R37℃,TEMP,0~$1177$
1177,Max. DHW Target Temp.,R37,--,Read-write,R36~85℃,TEMP,$1176$~85
1191,app_heartbeat,app_heartbeat,--,Read-write,app used,DIGI1,0~23205
1192,AT for Auto-start Heating Mode,R39,--,Read-write,5~20℃,TEMP,5~20
1193,AT for Main Circulation Pump in Smart Mode,R40,--,Read-write,-10~60℃,TEMP,-10~60
1194,AT for DHW Pump in Smart Mode,R41,--,Read-write,-10~60℃,TEMP,-10~60
1195,Temp. Diff. for Power-on in DHW,R16,--,Read-write,0~10℃,TEMP,0~10
1196,Temp. Diff. for Standby in DHW,R17,--,Read-write,0~10℃,TEMP,0~10
1197,Main Circulation Pump Operation Mode,P01,--,Read-write,0-【Always On】/1-【Saving】/2-【Interval】,ENUM,0~2
1198,Interval Time,P02,--,Read-write,1~120min,DIGI1,1~120
1199,Operation Duration Time,P03,--,Read-write,1~30min,DIGI1,1~30
1200,EEV Initial Steps for Heating1,E03-1,--,Read-write,0-500N,DIGI1,0~500
1201,DHW Pump Operation Mode,P05,--,Read-write,0-【Always On】/1-【Saving】/2-【Interval】,ENUM,0~2
1202,Main Circulation Pump Manual Control,P06,--,Read-write,0-OFF/1-ON,ENUM,0~1
1203,Circulation Pump Protection Period,P09,--,Read-write,0-30 days,DIGI1,0~30
1205,Speed of Circulation Pump,P10,--,Read-write,0~100%,DIGI1,0~100
1206,EEV Initial Steps for Heating3,E03-3,--,Read-write,0-500N,DIGI1,0~500
1207,EEV Initial Steps for Heating4,E03-4,--,Read-write,0-500N,DIGI1,0~500
1208,EEV Initial Steps for Heating5,E03-5,--,Read-write,0-500N,DIGI1,0~500
1209,EEV Min. Steps1,E07-1,--,Read-write,0-500N,DIGI1,0~500
1210,EEV Min. Steps2,E07-2,--,Read-write,0-500N,DIGI1,0~500
1211,EEV Min. Steps3,E07-3,--,Read-write,0-500N,DIGI1,0~500
1212,Test1,Test1,--,Read-write,-10~10,TEMP,-10~10
1213,Test2,Test2,--,Read-write,-10~10,TEMP,-10~10
1214,Test3,Test3,--,Read-write,-10~10,TEMP,-10~10
1215,EEV Min. Steps4,E07-4,--,Read-write,0-500N,DIGI1,0~500
1216,EEV Min. Steps5,E07-5,--,Read-write,0-500N,DIGI1,0~500
1217,Max. Comp. Frequency in Cooling at High Ambient Temp.,C11,--,Read-write,0-120Hz,DIGI1,0~120
1218,Manual Comp. Frequency,C01,--,Read-write,0~120Hz,DIGI1,0~120
1219,Min. Comp. Frequency,C02,--,Read-write,20~60Hz,DIGI1,20~60
1220,Max. Comp. Frequency,C03,--,Read-write,30~120Hz,DIGI1,30~120
1221,Model Selection,C04,--,Read-write,0~99,DIGI1,0~100
1222,Min. Comp. Frequency in Cooling at Low Ambient Temp.,C05,--,Read-write,0~60Hz,DIGI1,0~60
1223,Frequency Control Mode,C06,--,Read-write,1-120,DIGI1,1~120
1224,Resonance Point 1,C07,--,Read-write,0-120Hz,DIGI1,0~120
1225,Resonance Point 2,C08,--,Read-write,0-120Hz,DIGI1,0~120
1226,Resonance Point 3,C09,--,Read-write,0-120Hz,DIGI1,0~120
1227,Min. Comp. Frequency in Heating at Low Ambient Temp.,C10,--,Read-write,0-120Hz,DIGI1,0~120
1228,Max. Outlet Water Temp. in Heating,R42,--,Read-write,20~85℃,TEMP,20~85
1229,Max. Limit Target Water Temp. at Low AT in Heating,R43,--,Read-write,20~85℃,TEMP,20~85
1230,Max. Limit Target Water Temp. at High AT in Heating,R44,--,Read-write,20~85℃,TEMP,20~85
1231,AT to Start Electric Heater Without Delay,R45,--,Read-write,-50~20℃,TEMP,-50~20
1232,Temp. Diff. between Max. DHW Target Temp. & Max. Outlet Temp.,R46,--,Read-write,0~25℃,TEMP,0~25
1233,AT to Start Frequency Limit in Cooling,R60,--,Read-write,0-60℃,TEMP,0~60
1234,compensate slope,compensate_slope,--,Read-write,--,DIGI5,0~3.5
1235,compensate offset,compensate_offset,--,Read-write,--,TEMP,0~75
1236,H36/Z16 Enable Positive Weather Compensation,H36,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1237,AT to Stop Frequency Limit in Cooling,R61,--,Read-write,0-60℃,TEMP,0~60
1238,Max. Heat Pump Outlet Water Temp.,R62,--,Read-write,40-95℃,TEMP,40~95
1239,Target Room Temp.,R70,--,Read-write,5~27℃,TEMP,5~27
1240,Room Temp. Diff. for Power-on in Heating,R71,--,Read-write,0.1~3℃,TEMP,0.1~3
1241,Room Temp. Diff. for Standby in Heating,R72,--,Read-write,0.1~3℃,TEMP,0.1~3
1242,Room Temp. Diff. for Power-on in Cooling,R73,--,Read-write,0.1~3℃,TEMP,0.1~3
1243,Room Temp. Diff. for Standby in Cooling,R74,--,Read-write,0.1~3℃,TEMP,0.1~3
1244,Timer_Mute_On_En,Timer_Mute_On_En,--,Read-write,--,ENUM,0~1
1245,TimerMuteOnHour,TimerMuteOnHour,--,Read-write,--,DIGI1,0~23
1246,TimerMuteOnMinute,TimerMuteOnMinute,--,Read-write,--,DIGI1,0~59
1247,Timer_Mute_Off_En,Timer_Mute_Off_En,--,Read-write,--,ENUM,0~1
1248,TimerMuteOffHour,TimerMuteOffHour,--,Read-write,--,DIGI1,0~23
1249,TimerMuteOffMinute,TimerMuteOffMinute,--,Read-write,--,DIGI1,0~59
1250,System Time Enable,1250,--,Read-write,system time enable,DIGI1,0~1
1251,System Current Min,1251,--,Read-write,system current min,DIGI1,0~59
1252,System Current Hour,1252,--,Read-write,system current hour,DIGI1,0~23
1253,System Current Day,1253,--,Read-write,system current day,DIGI1,1~31
1254,System Current Month,1254,--,Read-write,system current month,DIGI1,1~12
1255,System Current Year,1255,--,Read-write,system current year,DIGI1,0~99
1256,Frist_Period_Power_ONOFF_Start,KG1,--,Read-write,--,DIGI1,--
1256-H,Frist_Period_Power_ONOFF_Start_Hour,KG1-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1256-L,Frist_Period_Power_ONOFF_Start_Min,KG1-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1257,Frist_Period_Power_ONOFF_End,KG2,--,Read-write,--,DIGI1,--
1257-H,Frist_Period_Power_ONOFF_End_Hour,KG2-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1257-L,Frist_Period_Power_ONOFF_End_Min,KG2-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1258,Second_Period_Power_ONOFF_Start,KG3,--,Read-write,--,DIGI1,--
1258-H,Second_Period_Power_ONOFF_Start_Hour,KG3-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1258-L,Second_Period_Power_ONOFF_Start_Min,KG3-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~49
1259,Second_Period_Power_ONOFF_End,KG4,--,Read-write,--,DIGI1,--
1259-H,Second_Period_Power_ONOFF_End_Hour,KG4-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1259-L,Second_Period_Power_ONOFF_End_Min,KG4-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1260,Third_Period_Power_ONOFF_Start,KG5,--,Read-write,--,DIGI1,--
1260-H,Third_Period_Power_ONOFF_Start_Hour,KG5-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1260-L,Third_Period_Power_ONOFF_Start_Min,KG5-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1261,Third_Period_Power_ONOFF_End,KG6,--,Read-write,--,DIGI1,--
1261-H,Third_Period_Power_ONOFF_End_Hour,KG6-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1261-L,Third_Period_Power_ONOFF_End_Min,KG6-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1262,Fourth_Period_Power_ONOFF_Start,KG7,--,Read-write,--,DIGI1,--
1262-H,Fourth_Period_Power_ONOFF_Start_Hour,KG7-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1262-L,Fourth_Period_Power_ONOFF_Start_Min,KG7-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1263,Fourth_Period_Power_ONOFF_End,KG8,--,Read-write,--,DIGI1,--
1263-H,Fourth_Period_Power_ONOFF_End_Hour,KG8-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1263-L,Fourth_Period_Power_ONOFF_End_Min,KG8-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1264,Fifth_Period_Power_ONOFF_Start,KG9,--,Read-write,--,DIGI1,--
1264-H,Fifth_Period_Power_ONOFF_Start_Hour,KG9-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1264-L,Fifth_Period_Power_ONOFF_Start_Min,KG9-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1265,Fifth_Period_Power_ONOFF_End,KG10,--,Read-write,--,DIGI1,--
1265-H,Fifth_Period_Power_ONOFF_End_Hour,KG10-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1265-L,Fifth_Period_Power_ONOFF_End_Min,KG10-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1266,Sixth_Period_Power_ONOFF_Start,KG11,--,Read-write,--,DIGI1,--
1266-H,Sixth_Period_Power_ONOFF_Start_Hour,KG11-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1266-L,Sixth_Period_Power_ONOFF_Start_Min,KG11-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1267,Sixth_Period_Power_ONOFF_End,KG12,--,Read-write,--,DIGI1,--
1267-H,Sixth_Period_Power_ONOFF_End_Hour,KG12-H,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~23
1267-L,Sixth_Period_Power_ONOFF_End_Min,KG12-L,--,Read-write,high 8 bits: hour low 8 bits: minute,DIGI1,0~59
1268,First_Second_Period(Enable/Disable),KG13~KG28,--,Read-write,--,BINARY,--
1269,Third_Fourth_Period(Enable/Disable),KG29~KG44,--,Read-write,--,BINARY,--
1270,Fifth_Sixth_Period(Enable/Disable),KG45~KG60,--,Read-write,--,BINARY,--
1281,Mode&Temp.&Power Timer1 Start,M1 Start,--,Read-write,--,DIGI1,--
1281-H,Mode&Temp.&Power Timer1 Start_H,M1 Start_H,--,Read-write,--,DIGI1,0~23
1281-L,Mode&Temp.&Power Timer1 Start_L,M1 Start_L,--,Read-write,--,DIGI1,0~59
1282,Mode&Temp.&Power Timer1 End,M1 End,--,Read-write,--,DIGI1,--
1282-H,Mode&Temp.&Power Timer1 End-H,M1 End-H,--,Read-write,--,DIGI1,0~23
